"","x"
"557","erledigt niemand"
"558","niemand übernimmt"
"559","null umsätzen"
"560","branchen wächst"
"561","mahnung kommt"
"562","geschäftsbetrieb ruht"
"563","innenstädten trügt"
"564","mittwochvormittag hallen"
"565","hallen klarinettenklänge"
"566","frankfurter einkaufsstraße"
"567","einkaufsstraße zeil"
"568","glastüren hängen"
"569","hängen zettel"
"570","zettel geschlossen"
"571","geschlossen aufgrund"
"572","landesregierung besuchen"
"573","online bleiben"
"574","einkaufsstraße dient"
"575","paar anfang"
"576","anfang zwanzig"
"577","darmstadt hergekommen"
"578","läden schließen"
"579","schließen sagt"
"580","junge mann"
"581","neugierig gibt"
"582","nochmal miterleben"
"583","shoppingzentrum my"
"584","my zeil"
"585","zeil dagegen"
"586","zwölf uhr"
"587","uhr fast"
"588","fast niemand"
"589","geschwungenen glasdach"
"590","glasdach essen"
"591","essen mehr"
"592","drei menschen"
"593","unterbrechung vieler"
"594","vieler wirtschaftlicher"
"595","wirtschaftlicher aktivitäten"
"596","aktivitäten trifft"
"597","trifft selbständige"
"598","selbständige hart"
"599","hart berater"
"600","berater rölleke"
"601","rölleke berichtet"
"602","fälligen 13.500"
"603","13.500 euro"
"604","antwort folgende"
"605","folgende mail"
"606","mail erhalten"
"607","erhalten lieber"
"608","lieber geschäftspartner"
"609","geschäftspartner aufgrund"
"610","aktuellen ereignisse"
"611","unseren betrieb"
"612","betrieb vorerst"
"613","19 april"
"614","april 2020"
"615","2020 eingestellt"
"616","trotz covid"
"617","covid 19"
"618","arbeit verrichten"
"619","geschlossene ladentür"
"620","ladentür lassen"
"621","steuerpflichtigen derzeit"
"622","größerem ausmaß"
"623","ausmaß insbesondere"
"624","stark belasteten"
"625","belasteten kreativwirtschaft"
"626","verhindern legte"
"627","land berlin"
"628","richtet solo"
"629","solo selbständige"
"630","selbständige sollen"
"631","sollen einmalig"
"632","15.000 euro"
"633","euro erhalten"
"634","ausschließlich steuerliche"
"635","steuerliche erleichterungen"
"636","erleichterungen erwarten"
"637","erwarten könnten"
"638","könnten sagte"
"639","schon bayern"
"640","bayern vorgeprescht"
"641","erhalten selbständige"
"642","kleinen unternehmen"
"643","250 mitarbeitern"
"644","30.000 euro"
"645","euro viele"
"646","viele kleine"
"647","kleine unternehmen"
"648","unternehmen starten"
"649","starten schon"
"650","schwachen bonitätsbewertung"
"651","gastronomie kraftfahrzeug"
"652","kraftfahrzeug zulieferer"
"653","zulieferer chemische"
"654","chemische industrie"
"655","höchsten anteilen"
"656","kleinen unternehmen"
"657","schwacher bonität"
"658","bonität heißt"
"659","europäische wirtschaftsforschung"
"660","wirtschaftsforschung zew"
"661","auskunftei creditreform"
"662","branchen seien"
"663","20 prozent"
"664","unternehmen insolvenzgefährdet"
"665","getränkehändler absolut"
"666","absolut umsatzabhängig"
"667","neue ware"
"668","ware anfang"
"669","woche bestellen"
"670","bestellen seien"
"671","seien ganz"
"672","ganz schnell"
"673","schnell zahlungsunfähig"
"674","umsatz wegfällt"
"675","wegfällt erwartet"
"676","creditreform sprecher"
"677","messebauer reiseveranstalter"
"678","reiseveranstalter touristikunternehmen"
"679","touristikunternehmen textileinzelhändler"
"680","kinos größere"
"681","größere anschaffungen"
"682","anschaffungen vielleicht"
"683","teil nachgeholt"
"684","dienstreisen kino"
"685","sagt georg"
"686","georg licht"
"687","einbrüche katapultieren"
"688","vorher guter"
"689","guter bonität"
"690","hohe verschuldung"
"691","verschuldung hinzukommt"
"692","hinzukommt schon"
"693","creditreform sogenannte"
"694","sogenannte zombie"
"695","zombie unternehmen"
"696","unternehmen beobachtet"
"697","niedrigen zinsen"
"698","zinsen überlebten"
"699","überlebten eigenkapital"
"700","eigenkapital gilt"
"701","wichtiger puffer"
"702","oft klein"
"703","großen unternehmen"
"704","deutschland zehn"
"705","zehn jahre"
"706","jahre aufschwung"
"707","gewinnwüste sagt"
"708","sagt hermann"
"709","hermann simon"
"710","simon unternehmer"
"711","betrieben fehle"
"712","krisenzeiten zehren"
"713","deutsche unternehmen"
"714","unternehmen behielten"
"715","durchschnitt 3,4"
"716","3,4 prozent"
"717","industriestaaten wenig"
"718","regel 2"
"719","3 prozentpunkte"
"720","prozentpunkte höhere"
"721","höhere gewinne"
"722","gewinne realisieren"
"723","realisieren hans"
"724","hans jörg"
"725","jörg andré"
"726","ganz ruhig"
"727","erste mal"
"728","mal überhaupt"
"729","offenbacher marktplatz"
"730","geöffnet dabei"
"731","musikhaus andré"
"732","andré schon"
"733","krisen überstanden"
"734","überstanden seit"
"735","245 jahren"
"736","jahren verkauft"
"737","ladenfläche reihen"
"738","gitarren jeglicher"
"739","jeglicher art"
"740","art aneinander"
"741","aneinander geigen"
"742","geigen hängen"
"743","weltkriege überstanden"
"744","überstanden sagt"
"745","sagt andré"
"746","krise überstehen"
"747","überstehen hätte"
"748","zwei wochen"
"749","wochen gesagt"
"750","gesagt dass"
"751","laden schließen"
"752","dachte dass"
"753","science fiction"
"754","fiction szenario"
"755","lieber geschlossene"
"756","geschlossene türen"
"757","kranke kunden"
"758","kunden kredite"
"759","andré zunächst"
"760","immer gut"
"761","gut gehaushaltet"
"762","nächsten wochen"
"763","wochen sei"
"764","unternehmen gut"
"765","gut gerüstet"
"766","vier mitarbeiter"
"767","mitarbeiter bereiten"
"768","moment seien"
"769","gut beschäftigt"
"770","könne ausliefern"
"771","kunden beratungen"
"772","skype anbieten"
"773","anbieten vielleicht"
"774","eigene angebot"
"775","angebot auszuweiten"
"776","auszuweiten onlinehändler"
"777","onlinehändler hätten"
"778","hätten schon"
"779","schon vielen"
"780","vielen musikfachgeschäften"
"781","musikfachgeschäften schwierigkeiten"
"782","schwierigkeiten bereitet"
"783","vergangenen tagen"
"784","mehr kunden"
"785","kunden gekommen"
"786","gekommen musizieren"
"787","quarantäne eben"
"788","vorm fernseher"
"789","wen sollen"
"790","regierung steckt"
"791","gesunde unternehmen"
"792","unternehmen erhalten"
"793","niemanden künstlich"
"794","leben halten"
"795","gewaltig rund"
"796","rund 5,6"
"797","5,6 millionen"
"798","millionen menschen"
"799","kurzarbeit 53"
"800","53 milliarden"
"801","milliarden euro"
"802","euro hilfe"
"803","corona nöten"
"804","staatsbank kfw"
"805","kfw beantragt"
"806","beantragt schon"
"807","mai sprang"
"808","krisengeschüttelten lufthansa"
"809","9 milliarden"
"810","milliarden euro"
"811","euro schweren"
"812","schweren rettungspaket"
"813","gut 1"
"814","insgesamt 3"
"815","3 milliarden"
"816","milliarden euro"
"817","euro erhöht"
"818","zahlen steht"
"819","unternehmen sollen"
"820","markt verschwinden"
"821","sofort startklar"
"822","corona vorsichtsmaßnahmen"
"823","vorsichtsmaßnahmen irgendwann"
"824","je länger"
"825","krise andauert"
"826","andauert desto"
"827","desto drängender"
"828","jüngster zeit"
"829","sogenannten zombie"
"830","zombie unternehmen"
"831","gewöhnlichen zeiten"
"832","zeiten versteht"
"833","darunter unternehmen"
"834","unternehmen deren"
"835","deren erträge"
"836","längeren zeitraum"
"837","zeitraum niedriger"
"838","kredite zahlen"
"839","zahlen müssen"
"840","niedrigzinspolitik bedeutet"
"841","erträge müssen"
"842","müssen schon"
"843","schon ziemlich"
"844","ziemlich gering"
"845","corona krise"
"846","unternehmen verwendet"
"847","dank staatlicher"
"848","staatlicher hilfe"
"849","deren geschäftsmodell"
"850","pandemiebedingungen eigentlich"
"851","mehr rechnet"
"852","wirtschaftsauskunftei creditreform"
"853","creditreform rechnet"
"854","zombie unternehmen"
"855","unternehmen gemäß"
"856","ökonomischen definition"
"857","15 prozent"
"858","unternehmen steigen"
"859","hierzulande mehr"
"860","gesprochen rund"
"861","sechste unternehmen"
"862","unternehmen läuft"
"863","läuft gefahr"
"864","warnt patrik"
"865","patrik ludwig"
"866","ludwig hantzsch"
"867","hantzsch leiter"
"868","leiter wirtschaftsforschung"
"869","creditreform entsprechend"
"870","entsprechend kritisch"
"871","kritisch sieht"
"872","dass bundesjustizministerin"
"873","bundesjustizministerin christine"
"874","christine lambrecht"
"875","lambrecht spd"
"876","spd zumindest"
"877","unternehmen weiterhin"
"878","insolvenz anzumelden"
"879","ende september"
"880","september ausgesetzt"
"881","akut zahlungsunfähig"
"882","ende märz"
"883","märz verlängern"
"884","verheerendes signal"
"885","signal sagt"
"886","sagt hantzsch"
"887","riesige insolvenzflut"
"888","insolvenzflut angestaut"
"889","angestaut nächstes"
"890","nächstes jahr"
"891","große löcher"
"892","lieferketten sehen"
"893","bundesfinanzministerium ende"
"894","ende märz"
"895","kleine anfrage"
"896","protokoll gab"
"897","anteil ertragsschwacher"
"898","ertragsschwacher unternehmen"
"899","deutschland spiele"
"900","untergeordnete rolle"
"901","deuten adidas"
"902","netz verlagern"
"903","tui deutsche"
"904","deutsche unternehmen"
"905","internationalen vergleich"
"906","vergleich seit"
"907","seit jeher"
"908","jeher eher"
"909","eher gewinnschwach"
"910","weniger resilient"
"911","zehn jahren"
"912","2016 pendelte"
"913","deutschen bundesbank"
"914","4,3 prozent"
"915","3,3 prozent"
"916","lange sicht"
"917","sicht betrage"
"918","oecd staaten"
"919","staaten sagt"
"920","sagt betriebswirtschaftsprofessor"
"921","unternehmensgründer hermann"
"922","hermann simon"
"923","simon mehr"
"924","hälfte deutscher"
"925","deutscher unternehmen"
"926","unternehmen verdient"
"927","subventionen trügen"
"928","markt hielten"
"929","bestehen könnten"
"930","wichtige funktion"
"931","mehr reinstecken"
"932","vergangenheit seien"
"933","landwirtschaft beispiele"
"934","ineffiziente zombiewirtschaft"
"935","neue technologien"
"936","technologien gesteckt"
"937","gesteckt ginge"
"938","besser sagt"
"939","sagt simon"
"940","fdp fraktion"
"941","bundestag wachsen"
"942","staatlichen rettungspolitik"
"943","sei richtig"
"944","richtig unternehmen"
"945","marktbereinigung unumgänglich"
"946","unumgänglich sei"
"947","sei sagt"
"948","sagt thomas"
"949","thomas sattelberger"
"950","sattelberger einst"
"951","einst personalvorstand"
"952","deutschen telekom"
"953","längere zeit"
"954","distanzregeln funktionieren"
"955","entsprechend wandeln"
"956","wandeln könnten"
"957","internet möglich"
"958","dagegen schon"
"959","schon fragen"
"960","pandemie bedingungen"
"961","knappen fachkräfte"
"962","fachkräfte seien"
"963","zukunftsfähigen unternehmen"
"964","besten aufgehoben"
"965","aufgehoben sagt"
"966","sagt sattelberger"
"967","vermutet dass"
"968","darum geht"
"969","wahljahr 2021"
"970","2021 kleinzuhalten"
"971","danach böse"
"972","füße fallen"
"973","fallen unterstützung"
"974","unterstützung bekommt"
"975","ökonomen marktbereinigungsprozesse"
"976","marktbereinigungsprozesse sollten"
"977","grundsätzlich verhindert"
"978","sagt oliver"
"979","oliver holtemöller"
"980","halle iwh"
"981","führt ebenfalls"
"982","gesunden unternehmen"
"983","unternehmen wer"
"984","wer überhaupt"
"985","solider geschäftspartner"
"986","sozialen marktwirtschaft"
"987","marktwirtschaft sinn"
"988","sinn dass"
"989","dass unternehmen"
"990","seit märz"
"991","märz gedanken"
"992","holtemöller gibt"
"993","bedenken insolvenzen"
"994","entlassungen beeinträchtigen"
"995","beeinträchtigen erwerbsbiographien"
"996","erwerbsbiographien erheblich"
"997","plädiert deshalb"
"998","mehr branchenspezifische"
"999","branchenspezifische regelungen"
"1000","regelungen statt"
"1001","statt pauschaler"
"1002","berliner sternekoch"
"1003","sternekoch tim"
"1004","tim raue"
"1005","lieferdienst namens"
"1006","namens fuh"
"1007","fuh kin"
"1008","kin great"
"1009","wasser hielt"
"1010","abholen anbietet"
"1011","anbietet meldete"
"1012","meldete fernsehköchin"
"1013","fernsehköchin sarah"
"1014","sarah wiener"
"1015","wiener kürzlich"
"1016","berliner restaurants"
"1017","cateringdienst insolvenz"
"1018","drei sterne"
"1019","sterne häusern"
"1020","45 prozent"
"1021","prozent gestiegen"
"1022","asien spezialisierten"
"1023","spezialisierten 5"
"1024","5 sterne"
"1025","sterne häusern"
"1026","dagegen drei"
"1027","drei viertel"
"1028","betten leer"
"1029","ausnahmefall berechtigt"
"1030","begriff zombiewirtschaft"
"1031","vergangenen jahrzehnts"
"1032","japanischen nullzinsphase"
"1033","nullzinsphase aufgekommen"
"1034","niedrigen finanzierungskosten"
"1035","banken hätten"
"1036","hätten unternehmen"
"1037","unternehmen begünstigt"
"1038","begünstigt deren"
"1039","deren profitabilität"
"1040","profitabilität zuvor"
"1041","zuvor schwach"
"1042","schreiben volkswirte"
"1043","europäischen zentralbank"
"1044","titel zombification"
"1045","zombification is"
"1046","is a"
"1047","a real"
"1048","real not"
"1049","not a"
"1050","a monetary"
"1051","monetary phenomenon"
"1052","phenomenon ulrich"
"1053","ulrich bindseil"
"1054","jürgen schaaf"
"1055","schaaf zählen"
"1056","zählen darin"
"1057","zombifizierung verhindern"
"1058","verhindern könne"
"1059","könne strukturreformen"
"1060","strukturreformen niedrige"
"1061","niedrige markteintrittsbarrieren"
"1062","aufstrebende branchen"
"1063","bessere bankenaufsicht"
"1064","effektiveres insolvenzrecht"
"1065","notleidende unternehmen"
"1066","konjunkturpakets erleichterungen"
"1067","erleichterungen versprochen"
"1068","versprochen etwa"
"1069","natürliche personen"
"1070","drei jahre"
