"","x"
"134","anhaltende nullzinspolitik schädigt"
"135","mehr 3 5"
"136","3 5 betroffen"
"137","zuletzt betriebsrenten unternehmen"
"138","betriebsrenten unternehmen müssen"
"139","unternehmen müssen erheblich"
"140","müssen erheblich höhere"
"141","erheblich höhere rückstellungen"
"142","höhere rückstellungen vornehmen"
"143","arbeitsplätze pensionskassen versorgungswerke"
"144","immer größerem umfang"
"145","risikoreichere anlagen getrieben"
"146","gefahr empfindlicher kursverluste"
"147","stabilste instrument privater"
"148","instrument privater altersvorsorge"
"149","garantiezinsen stellt versicherungsunternehmen"
"150","enorme herausforderungen 3"
"151","herausforderungen 3 gleichzeitig"
"152","schmerzhaften korrekturen schon"
"153","korrekturen schon heute"
"154","unerwünschten verteilungswirkungen wohlhabende"
"155","verteilungswirkungen wohlhabende bürger"
"156","immobilien besitzen mehren"
"157","vermögen erheblich weite"
"158","erheblich weite teile"
"159","zumeist keinerlei ersparnisse"
"160","konten vornehmen profitieren"
"161","realvermögen erheblich erschwert"
"162","erheblich erschwert insbesondere"
"163","vielen großstädten kaum"
"164","politische stabilität gefährdet"
"165","stabilität gefährdet 4"
"166","kapitalmarkt ertragreich plazieren"
"167","vorsichtsgründen verbietet fehlt"
"168","verbietet fehlt vielen"
"169","fehlt vielen stiftungen"
"170","vielen stiftungen aktuell"
"171","ezb zinspolitik schädigt"
"172","geschäftsmodells deutscher banken"
"173","hohem maße eingeschränkt"
"174","dadurch eingeschränkte rentabilität"
"175","eingeschränkte rentabilität geht"
"176","internationalen wettbewerb deutlich"
"177","wettbewerb deutlich beeinträchtigt"
"178","deutlich beeinträchtigt viele"
"179","beeinträchtigt viele banken"
"180","viele banken zehren"
"181","langfristig laufenden altkrediten"
"182","daraus resultierenden bilanzgewinne"
"183","zeiten geopolitischer neuordnungen"
"184","daraus resultierend zunehmender"
"185","resultierend zunehmender unsicherheiten"
"186","wettbewerbsfähiges europäisches bankensystem"
"187","drastischer volkswirtschaftlicher fehlallokation"
"188","wirtschaftsstandorts deutschland sollten"
"189","dadurch verursachter anleihe"
"190","kreditausfälle sowie arbeitsplatzverluste"
"191","sowie arbeitsplatzverluste 4"
"192","arbeitsplatzverluste 4 5"
"193","deutschlands wirtschaftliche stabilität"
"194","ezb fördert jedoch"
"195","fördert jedoch scheinrentabilität"
"196","lässt investitionen rentabel"
"197","investitionen rentabel erscheinen"
"198","vielfältigen nebenwirkungen rechtfertigen"
"199","mehr je länger"
"200","bestehende strategie beibehalten"
"201","restriktiverer kurs eingeschlagen"
"202","verzicht weiterer expansiver"
"203","weiterer expansiver geldpolitischer"
"204","expansiver geldpolitischer maßnahmen"
"205","weitere wertpapierkäufe wegen"
"206","ezb ohnehin kaum"
"207","kommunikativ sensibel begleitet"
"208","sensibel begleitet erfolgen"
"209","begleitet erfolgen darf"
"210","erfolgen darf jedoch"
"211","warten lassen 5"
"212","lassen 5 5"
"213","beiden festangestellten mitarbeitern"
"214","laden schließt herrscht"
"215","frankfurter stadtteil bornheim"
"216","jazz lps verkauft"
"217","china deshalb merkte"
"218","corona krise frühzeitig"
"219","bundesländer angeordnet viele"
"220","angeordnet viele einzelhandelsgeschäfte"
"221","handelsverband deutschland hde"
"222","deutschland hde warnte"
"223","non food bereich"
"224","food bereich fallen"
"225","tag 1,15 milliarden"
"226","1,15 milliarden euro"
"227","milliarden euro umsatz"
"228","hauptgeschäftsführer stefan genth"
"229","verband unbürokratische staatliche"
"230","unbürokratische staatliche hilfe"
"231","einzelhändler ansonsten drohten"
"232","ansonsten drohten firmeninsolvenzen"
"233","direktzahlungen kfw bürgschaften"
"234","april fälligen zahlungen"
"235","verband appelliert zudem"
"236","ladenlokalen mieten auszusetzen"
"237","ermöglichen plattenhändler timme"
"238","grundsoliden betrieb mangele"
"239","hofft darauf dass"
"240","zwei angestellten kurzarbeitergeld"
"241","angestellten kurzarbeitergeld bewilligt"
"242","onlinehandel umzusteigen sei"
"243","umzusteigen sei unmöglich"
"244","schuhgeschäft deshalb brauchen"
"245","krisenberater david rölleke"
"246","david rölleke sieht"
"247","rölleke sieht blanke"
"248","sieht blanke angst"
"249","blanke angst ausbrechen"
"250","nachfolger übergeben wollten"
"251","übergeben wollten gespräche"
"252","wollten gespräche hätten"
"253","tag erledigt niemand"
"254","erledigt niemand übernimmt"
"255","mittwochvormittag hallen klarinettenklänge"
"256","frankfurter einkaufsstraße zeil"
"257","glastüren hängen zettel"
"258","hängen zettel geschlossen"
"259","zettel geschlossen aufgrund"
"260","paar anfang zwanzig"
"261","läden schließen sagt"
"262","shoppingzentrum my zeil"
"263","my zeil dagegen"
"264","zwölf uhr fast"
"265","uhr fast niemand"
"266","geschwungenen glasdach essen"
"267","glasdach essen mehr"
"268","unterbrechung vieler wirtschaftlicher"
"269","vieler wirtschaftlicher aktivitäten"
"270","wirtschaftlicher aktivitäten trifft"
"271","aktivitäten trifft selbständige"
"272","trifft selbständige hart"
"273","selbständige hart berater"
"274","hart berater rölleke"
"275","berater rölleke berichtet"
"276","fälligen 13.500 euro"
"277","antwort folgende mail"
"278","folgende mail erhalten"
"279","mail erhalten lieber"
"280","erhalten lieber geschäftspartner"
"281","lieber geschäftspartner aufgrund"
"282","unseren betrieb vorerst"
"283","19 april 2020"
"284","april 2020 eingestellt"
"285","trotz covid 19"
"286","geschlossene ladentür lassen"
"287","größerem ausmaß insbesondere"
"288","stark belasteten kreativwirtschaft"
"289","richtet solo selbständige"
"290","solo selbständige sollen"
"291","selbständige sollen einmalig"
"292","15.000 euro erhalten"
"293","ausschließlich steuerliche erleichterungen"
"294","steuerliche erleichterungen erwarten"
"295","erleichterungen erwarten könnten"
"296","erwarten könnten sagte"
"297","schon bayern vorgeprescht"
"298","30.000 euro viele"
"299","euro viele kleine"
"300","viele kleine unternehmen"
"301","kleine unternehmen starten"
"302","unternehmen starten schon"
"303","gastronomie kraftfahrzeug zulieferer"
"304","kraftfahrzeug zulieferer chemische"
"305","zulieferer chemische industrie"
"306","schwacher bonität heißt"
"307","europäische wirtschaftsforschung zew"
"308","getränkehändler absolut umsatzabhängig"
"309","neue ware anfang"
"310","woche bestellen seien"
"311","bestellen seien ganz"
"312","seien ganz schnell"
"313","ganz schnell zahlungsunfähig"
"314","umsatz wegfällt erwartet"
"315","messebauer reiseveranstalter touristikunternehmen"
"316","reiseveranstalter touristikunternehmen textileinzelhändler"
"317","kinos größere anschaffungen"
"318","größere anschaffungen vielleicht"
"319","sagt georg licht"
"320","vorher guter bonität"
"321","hohe verschuldung hinzukommt"
"322","verschuldung hinzukommt schon"
"323","creditreform sogenannte zombie"
"324","sogenannte zombie unternehmen"
"325","zombie unternehmen beobachtet"
"326","niedrigen zinsen überlebten"
"327","zinsen überlebten eigenkapital"
"328","überlebten eigenkapital gilt"
"329","deutschland zehn jahre"
"330","zehn jahre aufschwung"
"331","gewinnwüste sagt hermann"
"332","sagt hermann simon"
"333","hermann simon unternehmer"
"334","deutsche unternehmen behielten"
"335","durchschnitt 3,4 prozent"
"336","3 prozentpunkte höhere"
"337","prozentpunkte höhere gewinne"
"338","höhere gewinne realisieren"
"339","gewinne realisieren hans"
"340","realisieren hans jörg"
"341","hans jörg andré"
"342","erste mal überhaupt"
"343","musikhaus andré schon"
"344","krisen überstanden seit"
"345","245 jahren verkauft"
"346","gitarren jeglicher art"
"347","jeglicher art aneinander"
"348","art aneinander geigen"
"349","aneinander geigen hängen"
"350","weltkriege überstanden sagt"
"351","überstanden sagt andré"
"352","krise überstehen hätte"
"353","zwei wochen gesagt"
"354","wochen gesagt dass"
"355","science fiction szenario"
"356","lieber geschlossene türen"
"357","kranke kunden kredite"
"358","immer gut gehaushaltet"
"359","nächsten wochen sei"
"360","unternehmen gut gerüstet"
"361","vier mitarbeiter bereiten"
"362","skype anbieten vielleicht"
"363","eigene angebot auszuweiten"
"364","angebot auszuweiten onlinehändler"
"365","auszuweiten onlinehändler hätten"
"366","onlinehändler hätten schon"
"367","hätten schon vielen"
"368","schon vielen musikfachgeschäften"
"369","vielen musikfachgeschäften schwierigkeiten"
"370","musikfachgeschäften schwierigkeiten bereitet"
"371","mehr kunden gekommen"
"372","kunden gekommen musizieren"
"373","gesunde unternehmen erhalten"
"374","gewaltig rund 5,6"
"375","rund 5,6 millionen"
"376","5,6 millionen menschen"
"377","kurzarbeit 53 milliarden"
"378","53 milliarden euro"
"379","milliarden euro hilfe"
"380","staatsbank kfw beantragt"
"381","kfw beantragt schon"
"382","9 milliarden euro"
"383","milliarden euro schweren"
"384","euro schweren rettungspaket"
"385","insgesamt 3 milliarden"
"386","3 milliarden euro"
"387","milliarden euro erhöht"
"388","corona vorsichtsmaßnahmen irgendwann"
"389","krise andauert desto"
"390","andauert desto drängender"
"391","sogenannten zombie unternehmen"
"392","gewöhnlichen zeiten versteht"
"393","darunter unternehmen deren"
"394","unternehmen deren erträge"
"395","längeren zeitraum niedriger"
"396","kredite zahlen müssen"
"397","erträge müssen schon"
"398","müssen schon ziemlich"
"399","schon ziemlich gering"
"400","dank staatlicher hilfe"
"401","wirtschaftsauskunftei creditreform rechnet"
"402","zombie unternehmen gemäß"
"403","sechste unternehmen läuft"
"404","unternehmen läuft gefahr"
"405","warnt patrik ludwig"
"406","patrik ludwig hantzsch"
"407","ludwig hantzsch leiter"
"408","hantzsch leiter wirtschaftsforschung"
"409","creditreform entsprechend kritisch"
"410","entsprechend kritisch sieht"
"411","dass bundesjustizministerin christine"
"412","bundesjustizministerin christine lambrecht"
"413","christine lambrecht spd"
"414","lambrecht spd zumindest"
"415","ende september ausgesetzt"
"416","ende märz verlängern"
"417","verheerendes signal sagt"
"418","signal sagt hantzsch"
"419","riesige insolvenzflut angestaut"
"420","insolvenzflut angestaut nächstes"
"421","angestaut nächstes jahr"
"422","bundesfinanzministerium ende märz"
"423","anteil ertragsschwacher unternehmen"
"424","tui deutsche unternehmen"
"425","internationalen vergleich seit"
"426","vergleich seit jeher"
"427","seit jeher eher"
"428","jeher eher gewinnschwach"
"429","lange sicht betrage"
"430","oecd staaten sagt"
"431","staaten sagt betriebswirtschaftsprofessor"
"432","unternehmensgründer hermann simon"
"433","hermann simon mehr"
"434","hälfte deutscher unternehmen"
"435","deutscher unternehmen verdient"
"436","neue technologien gesteckt"
"437","technologien gesteckt ginge"
"438","besser sagt simon"
"439","sei richtig unternehmen"
"440","marktbereinigung unumgänglich sei"
"441","unumgänglich sei sagt"
"442","sei sagt thomas"
"443","sagt thomas sattelberger"
"444","thomas sattelberger einst"
"445","sattelberger einst personalvorstand"
"446","entsprechend wandeln könnten"
"447","dagegen schon fragen"
"448","knappen fachkräfte seien"
"449","besten aufgehoben sagt"
"450","aufgehoben sagt sattelberger"
"451","wahljahr 2021 kleinzuhalten"
"452","füße fallen unterstützung"
"453","fallen unterstützung bekommt"
"454","ökonomen marktbereinigungsprozesse sollten"
"455","sagt oliver holtemöller"
"456","gesunden unternehmen wer"
"457","unternehmen wer überhaupt"
"458","sozialen marktwirtschaft sinn"
"459","marktwirtschaft sinn dass"
"460","sinn dass unternehmen"
"461","seit märz gedanken"
"462","entlassungen beeinträchtigen erwerbsbiographien"
"463","beeinträchtigen erwerbsbiographien erheblich"
"464","mehr branchenspezifische regelungen"
"465","branchenspezifische regelungen statt"
"466","regelungen statt pauschaler"
"467","berliner sternekoch tim"
"468","sternekoch tim raue"
"469","lieferdienst namens fuh"
"470","namens fuh kin"
"471","fuh kin great"
"472","abholen anbietet meldete"
"473","anbietet meldete fernsehköchin"
"474","meldete fernsehköchin sarah"
"475","fernsehköchin sarah wiener"
"476","sarah wiener kürzlich"
"477","drei sterne häusern"
"478","45 prozent gestiegen"
"479","asien spezialisierten 5"
"480","spezialisierten 5 sterne"
"481","5 sterne häusern"
"482","dagegen drei viertel"
"483","japanischen nullzinsphase aufgekommen"
"484","banken hätten unternehmen"
"485","hätten unternehmen begünstigt"
"486","unternehmen begünstigt deren"
"487","begünstigt deren profitabilität"
"488","deren profitabilität zuvor"
"489","profitabilität zuvor schwach"
"490","titel zombification is"
"491","zombification is a"
"492","is a real"
"493","a real not"
"494","real not a"
"495","not a monetary"
"496","a monetary phenomenon"
"497","monetary phenomenon ulrich"
"498","phenomenon ulrich bindseil"
"499","jürgen schaaf zählen"
"500","schaaf zählen darin"
"501","zombifizierung verhindern könne"
"502","verhindern könne strukturreformen"
"503","könne strukturreformen niedrige"
"504","strukturreformen niedrige markteintrittsbarrieren"
"505","konjunkturpakets erleichterungen versprochen"
"506","erleichterungen versprochen etwa"
"507","verzichten stößt dagegen"
"508","spd plans zählt"
"509","plans zählt dagegen"
"510","zählt dagegen ulrich"
"511","dagegen ulrich kater"
"512","ulrich kater chefvolkswirt"
"513","sparkassengruppe gehörenden dekabank"
"514","gehörenden dekabank insolvenzaussetzungen"
"515","ordnungspolitischer sicht gift"
"516","corona krise berechtigt"
"517","krise berechtigt findet"
"518","halbes jahr zusätzlich"
"519","jahr zusätzlich könne"
"520","oben kommen sagt"
"521","führenden kreditversicherers euler"
"522","kreditversicherers euler hermes"
"523","euler hermes ron"
"524","hermes ron van"
"525","ron van het"
"526","van het hof"
"527","het hof sieht"
"528","unternehmensgröße halt macht"
"529","bleibt allerdings offen"
"530","grundlage unserer juni"
"531","unserer juni prognose"
"532","erklärt iwh forscher"
"533","iwh forscher holtemöller"
"534","annahme freilich dass"
"535","flächendeckenden zweiten lockdown"
"536","zweiten lockdown gibt"
"537","engen lokal begrenzten"
"538","lokal begrenzten maßnahmen"
"539","begrenzten maßnahmen bekämpft"
"540","kaum wirtschaftliche aktivität"
"541","wirtschaftliche aktivität sagt"
"542","deutschland schade eigentlich"
"543","gute idee dass"
"544","idee dass ausgerechnet"
"545","kommenden jahr spitzenkandidat"
"546","mag christian lindner"
"547","nächste mal sei"
"548","wähler wurde damals"
"549","formel überrumpelt besser"
"550","markus söder besteht"
"551","bettel hinwirft demokratie"
"552","klugen neuen buch"
"553","politikwissenschaftlers david stasavage"
"554","david stasavage the"
"555","stasavage the decline"
"556","the decline and"
"557","decline and rise"
"558","and rise of"
"559","rise of democracy"
"560","of democracy nachlesen"
"561","beherrschten abholen müssen"
"562","abholen müssen demokratien"
"563","müssen demokratien setzen"
"564","systemisch sympathischen schwäche"
"565","sympathischen schwäche heraus"
"566","bürger wurde verraten"
"567","kluge linda teuteberg"
"568","niedergang wurde schon"
"569","wurde schon oft"
"570","schon oft vorhergesagt"
"571","oft vorhergesagt neu"
"572","deutsche liberale friedrich"
"573","liberale friedrich naumann"
"574","friedrich naumann 1860"
"575","liberalen diagnostizierte naumann"
"576","diagnostizierte naumann hätten"
"577","elegisch veranlagten gemüter"
"578","veranlagten gemüter eingerichtet"
"579","ans verlieren gewöhnt"
"580","verlieren gewöhnt seien"
"581","gewöhnt seien hoffnung"
"582","externe inhalte anzuzeigen"
"583","widerrufliche zustimmung nötig"
"584","zustimmung nötig dabei"
"585","drittplattformen ggf usa"
"586","ggf usa verarbeitet"
"587","niedergang bemerkenswert daran"
"588","meiste zeit vermochten"
"589","hält sagt friedrich"
"590","sagt friedrich naumann"
"591","lindner fdp schwer"
"592","jahr 2017 relativ"
"593","2017 relativ leicht"
"594","derzeit rund fünf"
"595","rund fünf prozent"
"596","parlamentarische rauswurf droht"
"597","schon 2013 schwerer"
"598","liberalismus hierzulande immer"
"599","hierzulande immer schon"
"600","dafür verantwortlich dass"
"601","größtmöglichen zahl etwa"
"602","erden genannt sozialismus"
"603","grünen zweig kommt"
"604","zweig kommt unabhängig"
"605","kommt unabhängig davon"
"606","unabhängig davon wer"
"607","davon wer gerade"
"608","fdp vorsitz innehat"
"609","vorsitz innehat zwei"
"610","innehat zwei antworten"
"611","gut otto graf"
"612","otto graf lambsdorff"
"613","graf lambsdorff 1926"
"614","lange jahre fdp"
"615","jahre fdp vorsitzender"
"616","könne verstehen dass"
"617","schrecklich überragende wahlerfolge"
"618","zeiten großer unfreiheit"
"619","großer unfreiheit angewandt"
"620","unsere corona tage"
"621","corona tage müsste"
"622","vergangenen wochen gab"
"623","brauche strengere staatliche"
"624","strengere staatliche regeln"
"625","erklärt warum law"
"626","warum law and"
"627","law and order"
"628","and order leute"
"629","csu mann markus"
"630","mann markus söder"
"631","ersten test panne"
"632","test panne gleich"
"633","starke mann darf"
"634","eindeutig vertrauensbildend wirken"
"635","vertrauensbildend wirken hinzu"
"636","wirken hinzu kommt"
"637","fdp bundespräsident theodor"
"638","bundespräsident theodor heuss"
"639","liberalen heute zählen"
"640","heute zählen unternehmer"
"641","zählen unternehmer erst"
"642","unternehmer erst recht"
"643","erst recht manager"
"644","gerade ökogrün bläst"
"645","redlich erst recht"
"646","spricht dafür dass"
"647","dass krisen derzeit"
"648","welt ziehen euro"
"649","ziehen euro krise"
"650","euro krise 2010"
"651","krise 2010 flüchtlingskrise"
"652","2010 flüchtlingskrise 2015"
"653","flüchtlingskrise 2015 corona"
"654","2015 corona krise"
"655","corona krise 2020"
"656","spät klare liberale"
"657","klare liberale alternativen"
"658","regierung beteiligt 2010"
"659","beteiligt 2010 außerparlamentarisch"
"660","2010 außerparlamentarisch 2015"
"661","zaghaft affirmatives ja"
"662","partei selten hinaus"
"663","selten hinaus dafür"
"664","alternative positionen radikal"
"665","positionen radikal populistisch"
"666","radikal populistisch besetzt"
"667","populistisch besetzt womit"
"668","hängt davon ab"
"669","altmaier sozialismus genannt"
"670","kollektiven rettungsschirmen teilverstaatlichte"
"671","rettungsschirmen teilverstaatlichte zombieunternehmen"
"672","staatslöhnen genannt kurzarbeitergeld"
"673","sankt nimmerleins tag"
"674","nimmerleins tag gepäppelte"
"675","tag gepäppelte arbeitnehmer"
"676","rente warten quelle"
"677","warten quelle f.a.s"
"678","ungewissheit trotz krise"
"679","trotz krise melden"
"680","krise melden derzeit"
"681","melden derzeit kaum"
"682","derzeit kaum unternehmen"
"683","kaum unternehmen insolvenz"
"684","experten mahnen dass"
"685","reisebürokette sta abgesehen"
"686","sta abgesehen bleibt"
"687","lage verwunderlich mitten"
"688","montag veröffentlichten zahlen"
"689","statistischen landesamtes demnach"
"690","juni hessenweit 117"
"691","hessenweit 117 unternehmen"
"692","insolvenzverfahrens beantragt nochmals"
"693","beantragt nochmals 13"
"694","nochmals 13 prozent"
"695","13 prozent weniger"
"696","frankfurter amtsgericht teilt"
"697","amtsgericht teilt zudem"
"698","überschuldung sofort gerichtlich"
"699","sofort gerichtlich anzuzeigen"
"700","gerichtlich anzuzeigen ausgesetzt"
"701","realistisches lagebild ablesen"
"702","lagebild ablesen klarer"
"703","ablesen klarer sehen"
"704","gesunden unternehmen dafür"
"705","unternehmen dafür plädieren"
"706","dafür plädieren dass"
"707","jahr quasi bedeutungslos"
"708","quasi bedeutungslos geworden"
"709","misstrauen gegenüber geschäftspartnern"
"710","liquiditätskrise sagt etwa"
"711","sagt etwa jan"
"712","etwa jan roth"
"713","jan roth fachanwalt"
"714","großkanzlei wellensiek zahlungsunfähigkeit"
"715","verfahren 1 4"
"716","1 4 darauf"
"717","4 darauf scheint"
"718","berliner koalition gekommen"
"719","überbrückungshilfen sowie verbürgte"
"720","sowie verbürgte kredite"
"721","deutlich länger gezahlt"
"722","30 september enden"
"723","überschuldung bleibt allerdings"
"724","bleibt allerdings weiterhin"
"725","anzeigepflicht ausgenommen sofern"
"726","corona pandemie hängt"
"727","pandemie hängt davon"
"728","hängt davon profitieren"
"729","davon profitieren großkonzerne"
"730","riesigen staatskredit gestützt"
"731","kleinere rolle spielen"
"732","rolle spielen 99"
"733","spielen 99 prozent"
"734","wegen zahlungsunfähigkeit eröffnet"
"735","zehn jahren vielleicht"
"736","jahren vielleicht drei"
"737","vier anträge wegen"
"738","anträge wegen überschuldung"
"739","schreibtisch gehabt sagt"
"740","gehabt sagt frank"
"741","sagt frank mößle"
"742","frank mößle geschäftsführer"
"743","insolvenzrecht spezialisierten rechtsanwaltskanzlei"
"744","spezialisierten rechtsanwaltskanzlei pluta"
"745","scheint klar dass"
"746","unternehmen sterben eher"
"747","anzahl wirklicher verlierer"
"748","sozusagen vorher schon"
"749","vorher schon todkrank"
"750","schon todkrank sagt"
"751","todkrank sagt mößle"
"752","sagt mößle jan"
"753","mößle jan roth"
"754","jan roth formuliert"
"755","wegen corona pleitegeht"
"756","außergerichtliche einigung bemüht"
"757","mehr üppig gefüllt"
"758","üppig gefüllt dass"
"759","gerichten melden dürfte"
"760","weiteren gesetzesänderung zusammenhängen"
"761","drei statt bisher"
"762","statt bisher sechs"
"763","bisher sechs jahre"
"764","sechs jahre verkürzt"
"765","insolvente verbraucher könnten"
"766","deutlich früher loswerden"
"767","paar wochen durchzuhalten"
"768","wochen durchzuhalten 2"
"769","durchzuhalten 2 4"
"770","schon gestern gestellt"
"771","rechtslage zulässt versuchen"
"772","außergerichtliche einigungen berichten"
"773","sagt frank mößle"
"774","frank mößle roth"
"775","mößle roth plädiert"
"776","rechtlichen verfahren gibt"
"777","längsten zögert baut"
"778","hohen verschuldungsgrad weitermachen"
"779","nächsten kleinsten auftragsdelle"
"780","kleinsten auftragsdelle kriegen"
"781","auftragsdelle kriegen unternehmen"
"782","handelskammertag plädiert dafür"
"783","plädiert dafür dass"
"784","umfragen zufolge sehen"
"785","wichtig dass zahlungsunfähige"
"786","gesunde unternehmen anstecken"
"787","unternehmen anstecken sagt"
"788","anstecken sagt hihk"
"789","sagt hihk präsident"
"790","hihk präsident eberhard"
"791","präsident eberhard flammer"
"792","zombie unternehmen ginge"
"793","gefahr wäre dass"
"794","markt nachhaltig schädigen"
"795","nachhaltig schädigen warnt"
"796","hessische wirtschaft sei"
"797","wirtschaft sei breit"
"798","sei breit aufgestellt"
"799","schwankungen ausgleichen gibt"
"800","handelskammertag überzeugt einzelne"
"801","überzeugt einzelne unternehmen"
"802","unsere hervorragenden fachkräfte"
"803","hessen sagt präsident"
"804","sagt präsident flammer"
"805","präsident flammer 3"
"806","flammer 3 4"
"807","3 4 4"
"808","4 4 4"
"809","beschäftigung besser stabilisieren"
"810","besser stabilisieren kurzarbeitergeld"
"811","stabilisieren kurzarbeitergeld führt"
"812","corona krise hilfreich"
"813","krise hilfreich sei"
"814","arbeitslosenzahlen explodierten sah"
"815","explodierten sah deutschland"
"816","fast 7 millionen"
"817","7 millionen menschen"
"818","kurzarbeit statt arbeitslosigkeit"
"819","statt arbeitslosigkeit gingen"
"820","regulären stunden arbeiteten"
"821","stunden arbeiteten insofern"
"822","kurzarbeit zeit verschafft"
"823","unerwarteten krise umzugehen"
"824","wettbewerbsfähige firmen künstlich"
"825","neuen stellen suchen"
"826","stellen suchen dadurch"
"827","suchen dadurch verlangsame"
"828","verlängerung unsicherheit reduziert"
"829","unsicherheit reduziert beschäftigung"
"830","reduziert beschäftigung stabilisiert"
"831","gesamtwirtschaftliche nachfrage gestützt"
"832","prinzipiell richtig treffen"
"833","richtig treffen jedoch"
"834","dynamik strukturellen wandels"
"835","dass kurzarbeit anreize"
"836","kurzarbeit anreize schafft"
"837","anreize schafft arbeitsvolumina"
"838","schafft arbeitsvolumina mehr"
"839","sektoren hinweg quantitativ"
"840","hinweg quantitativ weniger"
"841","quantitativ weniger relevant"
"842","rund sieben prozent"
"843","abbau einher vielmehr"
"844","oft persönliche umstände"
"845","arbeitnehmers zentrales motiv"
"846","vakant gewordene stelle"
"847","neu besetzt wandel"
"848","verlängerte kurzarbeitergeld wenig"
"849","kurzarbeitergeld wenig einwirken"
"850","wenig einwirken dürfte"
